  ID: 149, Cap: 26, Desirability: 0.0988019898928, Enrollment: 26,
  ID: 150, Cap: 22, Desirability: 0.919721686517, Enrollment: 22,
  ID: 151, Cap: 124, Desirability: 0.760100324325, Enrollment: 73,
  ID: 152, Cap: 19, Desirability: 0.223764976924, Enrollment: 19,
  ID: 153, Cap: 9, Desirability: 0.505441835368, Enrollment: 9,
  ID: 154, Cap: 22, Desirability: 0.575616940026, Enrollment: 22,
  ID: 155, Cap: 20, Desirability: 0.097954869987, Enrollment: 20,
  ID: 156, Cap: 23, Desirability: 0.854105098097, Enrollment: 23,
  ID: 157, Cap: 16, Desirability: 0.645464764161, Enrollment: 16,
  ID: 158, Cap: 19, Desirability: 0.78672494378, Enrollment: 19,
  ID: 159, Cap: 120, Desirability: 0.78305623347, Enrollment: 72,
  ID: 160, Cap: 21, Desirability: 0.32318304708, Enrollment: 21,
  ID: 161, Cap: 24, Desirability: 0.475701855517, Enrollment: 24,
  ID: 162, Cap: 121, Desirability: 0.282950135569, Enrollment: 68,
  ID: 163, Cap: 100, Desirability: 0.461899802363, Enrollment: 68,
  ID: 164, Cap: 66, Desirability: 0.0320358546908, Enrollment: 66,
  ID: 165, Cap: 24, Desirability: 0.990976856354, Enrollment: 24,
  ID: 166, Cap: 29, Desirability: 0.254224878288, Enrollment: 29,
  ID: 167, Cap: 15, Desirability: 0.0978376997972, Enrollment: 15,
  ID: 168, Cap: 14, Desirability: 0.469295512901, Enrollment: 14,
  ID: 169, Cap: 20, Desirability: 0.622865636552, Enrollment: 20,
  ID: 170, Cap: 13, Desirability: 0.753951418364, Enrollment: 13,
  ID: 171, Cap: 16, Desirability: 0.132182839654, Enrollment: 16,
  ID: 172, Cap: 80, Desirability: 0.392474121621, Enrollment: 62,
  ID: 173, Cap: 18, Desirability: 0.551274951477, Enrollment: 18,
  ID: 174, Cap: 24, Desirability: 0.378741908485, Enrollment: 24,
  ID: 175, Cap: 22, Desirability: 0.901688618154, Enrollment: 22,
  ID: 176, Cap: 15, Desirability: 0.0846458827478, Enrollment: 15,
  ID: 177, Cap: 19, Desirability: 0.586184199642, Enrollment: 19,
  ID: 178, Cap: 18, Desirability: 0.493961584031, Enrollment: 18,
  ID: 179, Cap: 142, Desirability: 0.641753419407, Enrollment: 54,
  ID: 180, Cap: 18, Desirability: 0.901657952703, Enrollment: 18,
  ID: 181, Cap: 160, Desirability: 0.38603597224, Enrollment: 61,
  ID: 182, Cap: 21, Desirability: 0.352669419969, Enrollment: 21,
  ID: 183, Cap: 84, Desirability: 0.649289329721, Enrollment: 59,
  ID: 184, Cap: 15, Desirability: 0.5941770216, Enrollment: 15,
  ID: 185, Cap: 22, Desirability: 0.844990100938, Enrollment: 22,
  ID: 186, Cap: 23, Desirability: 0.123037285841, Enrollment: 23,
  ID: 187, Cap: 112, Desirability: 0.424219101014, Enrollment: 75,
  ID: 188, Cap: 27, Desirability: 0.500639892727, Enrollment: 27,
  ID: 189, Cap: 94, Desirability: 0.399211873124, Enrollment: 62,
  ID: 190, Cap: 22, Desirability: 0.23454388568, Enrollment: 22,
  ID: 191, Cap: 96, Desirability: 0.744444528917, Enrollment: 57,
  ID: 192, Cap: 23, Desirability: 0.241209599243, Enrollment: 23,
